,,Azure,,,,,,,,,,,,,,,,,
,,Basic_A1,Basic_A2,Basic_A3,Basic_A4,Standard_D1,Standard_D2,Standard_D3,Standard_D4,Standard_D11,Standard_D12,Standard_D13,Standard_D1_v2,Standard_D2_v2,Standard_D3_v2,Standard_D4_v2,Standard_D11_v2,Standard_D12_v2,Standard_D13_v2
,composite,11.08,17.38,34.67,51.13,57.18,107.35,196.38,66.31,125.58,227.19,,38.14,40.15,15.94,52.36,57.05,22.68,
,w/o startup,10.46,17.21,35.76,54.65,62.94,123.62,238.67,72.98,144.60,275.59,,41.08,42.96,17.11,56.48,61.44,24.47,
,cost/hour, $0.014 , $0.028 , $0.056 , $0.112 , $0.132 , $0.264 , $0.528 , $0.119 , $0.238 , $0.477 ,,,,,,,,
,,,,,,,,,,,,,,1.118236208,,,,,
,LABELS,T2,,,,,,,,,,,,1.178571429,,,,,
,,M4,,,,,,,,,,,,,,,,,
,,C4,,,,,,,,,,,,,,,,,
,,,,,,,,,1.159645297,2.125,,1.166666667,1.12,,,,,,
,,,,,,,,,1.169773325,2.041076279,1.91250175,1.166666667,1.052056201,,,,,,
,,,,,,,,,,,1.981305952,,,,1.226890756,1.379166585,,,
,,,,,,,,,,,1.893878441,,,,1.231092437,1.244845053,,,
